zip	numberOfStdevsFromMean
68002	-0.4123699698032442
68003	-0.372844334258093
74434	-0.3530815164855174
68008	-0.11592770321461021
31408	-0.372844334258093
31407	-0.4123699698032442
68007	-0.372844334258093
31406	1.8899983007018133
82214	-0.4123699698032442
31410	-0.17521615653233702
74441	-0.3827257431443808
31411	-0.3827257431443808
74445	-0.4123699698032442
31416	-0.3827257431443808
74447	-0.0467578410105956
76901	-0.08628347655574681
76902	-0.4024885609169564
31418	-0.4123699698032442
76903	1.5342675807954524
76904	0.96114586539076
76905	-0.4024885609169564
31419	0.3781427410997798
38501	2.4730014249927934
38502	-0.4123699698032442
38504	-0.4123699698032442
96097	-0.007232205465444402
68069	-0.4024885609169564
96099	-0.4123699698032442
38506	-0.30367447205407844
82201	-0.29379306316779064
24737	-0.4123699698032442
96093	-0.30367447205407844
68066	-0.27403024539521503
68064	-0.3629629253718052
96094	-0.3629629253718052
68061	-0.4024885609169564
74427	-0.4024885609169564
74429	-0.2443860187363516
68057	-0.4123699698032442
24740	0.9315016387318965
68059	-0.4024885609169564
74426	-0.3530815164855174
68048	-0.27403024539521503
68047	-0.3432001075992296
68046	0.318854287782053
24712	-0.4123699698032442
68041	-0.4123699698032442
68044	-0.4123699698032442
68045	-0.372844334258093
74401	0.9907900920496233
68038	-0.4123699698032442
74403	-0.11592770321461021
68037	-0.3827257431443808
74406	-0.4123699698032442
68039	-0.4123699698032442
68031	-0.4123699698032442
68034	-0.4123699698032442
61748	-0.4123699698032442
37410	-0.4123699698032442
45130	-0.4024885609169564
45131	-0.4123699698032442
10918	-0.31355588094036624
10917	-0.4024885609169564
10924	0.5856523277118236
10925	-0.4024885609169564
37419	-0.4024885609169564
10926	-0.4123699698032442
10927	-0.3432001075992296
45133	0.012530612307131199
25827	-0.372844334258093
10920	-0.3629629253718052
10921	-0.372844334258093
45135	-0.3926071520306686
10923	-0.27403024539521503
37412	0.2595658344643262
37411	-0.2048603831912004
96057	-0.4123699698032442
61755	-0.4024885609169564
75503	2.3148988828121886
37416	-0.19497897430491262
61753	-0.3926071520306686
61754	-0.4123699698032442
37415	-0.0665206587831712
75501	0.220040198919175
61752	-0.3827257431443808
61738	-0.33331869871294184
61739	-0.32343728982665404
45121	-0.18509756541862482
45120	-0.4123699698032442
10913	-0.3629629253718052
37409	-0.3530815164855174
10914	-0.4123699698032442
37408	-0.4123699698032442
97913	-0.4024885609169564
97914	0.3287356966683408
81101	0.269447243350614
45122	-0.3827257431443808
45123	-0.224623200963776
61744	-0.4123699698032442
37403	2.838613553785442
25832	-0.372844334258093
61745	-0.4024885609169564
96067	0.0026492034208433985
24701	0.4374311944175066
37402	-0.32343728982665404
37401	-0.4123699698032442
61747	-0.32343728982665404
37407	-0.4024885609169564
61740	-0.3827257431443808
37406	-0.28391165428150283
37405	0.0322934300797068
25830	-0.4123699698032442
37404	4.963116464337319
61728	-0.4024885609169564
61727	-0.19497897430491262
67473	-0.33331869871294184
96073	-0.3629629253718052
45150	0.0817004745111458
45152	0.0619376567385702
97918	-0.4024885609169564
45154	-0.30367447205407844
45153	-0.4024885609169564
45155	-0.4123699698032442
45157	-0.4024885609169564
45158	-0.4123699698032442
45159	-0.4024885609169564
61732	-0.4123699698032442
25801	2.0382194339961304
61736	-0.4123699698032442
10940	1.4749791274777255
61734	-0.4024885609169564
10941	2.5718155138556713
